PV1READ,Female,ESCS,METASUM,PERFEED,JOYREAD,MASTGOAL,ADAPTIVITY,TEACHINT,SCREADDIFF,SCREADCOMP
-1.982624821,0,0.877953978,-1.759454259,0.275538553,-0.314180898,1.521829065,0.388062105,1.490077639,-0.127053949,0.192197154
1.415445876,0,1.214043851,0.23043541,0.275538553,0.192481997,0.872934925,0.491332618,1.585005277,0.162136401,-0.063690149
0.671957618,0,-0.059916358,-0.573768705,0.511388315,1.252481831,-0.417835454,1.390434411,0.34360293,-1.99944701,1.547448742
1.036243451,0,0.139992977,-0.573768705,-2.061078101,-1.325941101,-0.18551145,-0.8111262,-0.668887592,0.559200856,-0.579580169
-0.274977064,0,0.855890063,-0.171666648,-0.474901312,0.420666213,1.521829065,-0.682732704,0.03540737,-0.801004811,0.956200917
1.4452046,0,0.779230785,1.024329216,-0.403642927,0.294930056,-0.873789642,0.080450276,0.69564399,-0.265544842,-0.063690149
0.329604055,0,1.234465801,1.416120964,0.275538553,0.046686765,0.184970967,0.491332618,-0.985064735,-0.265544842,-0.579580169
1.093278937,0,0.04937699,-0.171666648,0.275538553,0.001089061,-0.873789642,0.388062105,1.585005277,0.19103636,0.192197154
0.826004725,0,1.319745399,1.024329216,0.73707214,0.209996995,-0.643770024,0.388062105,-0.1710496,-0.83143084,0.956200917
0.492900607,0,0.332718712,1.024329216,-0.789077206,0.974688096,0.184970967,0.18094221,-0.1710496,-0.69885347,-0.063690149
-1.823696522,1,0.043835356,-1.759454259,-0.789077206,-0.264571379,-0.300835494,-0.232834485,-0.350262763,0.559200856,-0.929939088
-1.694857875,0,0.156412635,-0.171666648,1.059864877,0.515775586,1.521829065,2.182676695,1.585005277,0.985642167,-0.063690149
-0.397403976,1,-0.297488284,0.23043541,-0.403642927,0.528202428,0.184970967,-0.8111262,-0.797337882,0.19103636,-0.549400465
-0.622815763,1,-0.906862838,1.024329216,1.478217432,-0.403810719,1.521829065,0.826614461,-0.1710496,0.559200856,-2.407189841
0.542771496,1,0.408043893,-1.759454259,0.275538553,1.079288837,-0.873789642,-1.819287211,-0.668887592,-0.265544842,-0.063690149
0.726875163,0,-0.140270059,-0.573768705,-1.259421273,0.546695917,-1.60155663,1.226382487,-1.00358201,-0.265544842,-0.549400465
0.657727702,1,-0.366861338,0.23043541,-0.789077206,2.754466272,-0.417835454,-1.211704645,-1.922102683,-1.99944701,1.547448742
-0.286716745,0,1.429346616,-1.759454259,0.275538553,1.021264291,0.597875035,2.182676695,0.69564399,1.67370918,0.431074079
1.106085861,1,-0.367066584,0.23043541,0.511388315,1.18809709,-0.090298412,-0.020736302,0.963293103,0.19103636,-0.272021555
-1.754788984,0,-0.99224506,-0.171666648,0.316202305,-0.248230571,1.521829065,-0.8111262,-0.1710496,0.285652728,-0.951887964
0.672511922,0,0.259240743,0.23043541,1.478217432,-1.325941101,-0.417835454,1.390434411,0.673934081,0.768558646,0.464180299
1.289527671,1,1.988025477,0.23043541,1.478217432,2.231560418,0.83522679,0.388062105,0.246227606,-1.308804753,1.547448742
-1.336462565,1,-0.519872026,-1.759454259,0.142800448,-0.255373559,1.521829065,-0.339925543,-2.716749175,0.985642167,-0.063690149
0.747400989,0,0.003401948,1.416120964,0.021680557,-0.067013947,-0.300835494,0.080450276,-0.797337882,-0.69885347,0.956200917
-0.363566561,0,0.002067851,-0.171666648,0.275538553,0.294930056,-1.60155663,-0.020736302,-0.985064735,0.907717195,-0.549400465
-0.195090981,1,-1.446145978,0.622227158,0.275538553,-0.931413331,0.184970967,-0.017726175,-0.1710496,0.19103636,-0.549400465
1.451417778,1,0.757577361,1.024329216,0.021680557,0.001089061,0.184970967,0.385051978,0.963293103,1.008247085,-1.495945707
-0.598881376,0,0.900223139,1.416120964,1.478217432,0.821847725,-0.055208898,0.491332618,0.366696312,0.66554889,-0.549400465
-1.220265378,0,0.363916062,-0.171666648,1.478217432,0.394638339,-0.300835494,2.182676695,1.585005277,-0.022041226,0.919345098
-1.472374803,1,-1.359327037,-0.171666648,-0.631456757,-1.258620886,-0.38316492,-1.357348484,-1.414899633,0.66554889,-1.08422139
0.505583433,1,-0.074899296,0.23043541,1.478217432,0.294930056,1.521829065,0.488206717,1.585005277,0.19103636,0.575753748
1.542836711,0,0.598101433,1.416120964,-0.184639576,-0.116525616,0.455841064,-0.229592809,-0.1710496,-0.69885347,-0.677069756
-0.208609401,1,0.795855689,-1.759454259,0.803392783,1.402680275,1.521829065,2.182676695,-0.1710496,-1.99944701,1.547448742
-0.342329239,0,-1.580376682,1.024329216,-0.789077206,0.724487821,-1.797115203,-0.8111262,-1.732779514,1.804855859,-0.851380406
0.361282163,1,-0.908094313,0.23043541,-2.061078101,-0.639137922,-1.689751766,0.080450276,-1.281128287,-0.265544842,1.547448742
-0.872707969,1,-0.594478846,0.622227158,-1.464579584,-0.721722604,-0.516924051,-0.017726175,-1.00358201,0.559200856,-0.951887964
0.157240068,0,-0.736816756,1.024329216,-2.061078101,0.324578348,-1.199127044,1.390434411,1.585005277,1.008247085,-0.549400465
-0.417102481,0,-2.932843381,0.622227158,-0.087530663,0.515775586,0.184970967,-1.357348484,-0.723694468,1.67370918,-1.180064812
-0.496781734,1,0.04003831,0.23043541,-1.569240337,0.161365967,1.521829065,-0.8111262,-0.668887592,1.008247085,0.192197154
0.230400034,1,0.38751932,1.416120964,0.275538553,0.461175761,0.184970967,-0.336568094,-1.039126663,-0.69885347,-0.827785365
-1.591194597,1,0.132706754,-1.367662511,-2.061078101,-2.45551168,1.521829065,-2.763772459,-0.1710496,0.66554889,-0.851380406
-0.523644835,1,0.468283513,0.23043541,0.275538553,0.209996995,-0.055208898,0.491332618,1.585005277,-0.265544842,-0.063690149
0.391967486,0,-0.513509408,1.416120964,-0.789077206,-1.223786589,-0.516924051,-0.336568094,0.366696312,-0.265544842,-0.549400465
1.594800722,0,-0.249358161,-0.573768705,1.478217432,2.754466272,-2.121509901,0.491332618,1.049068524,-1.99944701,1.547448742
-0.815010626,1,-2.299762945,0.622227158,-0.214459661,-0.067013947,-0.300835494,-0.336568094,0.296139111,-0.233592742,-0.929939088
-0.842676229,1,-0.019996065,1.024329216,-0.631456757,-2.45551168,0.033719451,-0.935467601,-0.96654746,-1.15896371,-1.334072752
