"id","firmbr","firm","brand","city","year","quarter","share","price","sugar","mushy","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","z13","z14","z15","z16","z17","z18","z19","z20"
100401880,1004,1,4,1,88,1,"0,0124","0,072","2,000","1,000","-0,216","0,041","-3,248","-0,524","-0,232","0,007","3,140","-0,575","0,206","0,177","2,116","-0,155","-0,006","0,015","0,126","0,067","0,068","0,035","0,126","0,035"
100601880,1006,1,6,1,88,1,"0,0078","0,114","18,000","1,000","-0,245","0,055","-19,832","-0,181","0,015","0,001","0,288","0,033","0,105","-0,288","-7,374","-0,576","0,013","0,076","0,030","0,088","0,111","0,088","0,050","0,073"
100701880,1007,1,7,1,88,1,"0,0130","0,132","4,000","1,000","-0,176","0,047","-2,879","-0,284","-0,216","-0,032","2,886","-0,750","-0,479","0,215","2,188","-0,207","0,004","0,092","0,164","0,112","0,108","0,086","0,122","0,102"
100901880,1009,1,9,1,88,1,"0,0058","0,130","3,000","0,000","-0,121","0,049","-2,060","-0,328","-0,222","-0,031","4,453","0,256","-0,473","0,356","2,705","0,041","-0,004","0,095","0,135","0,088","0,102","0,102","0,111","0,104"
101101880,1011,1,11,1,88,1,"0,0179","0,155","12,000","0,000","-0,133","0,040","-6,138","-0,139","-0,189","-0,044","-3,555","0,139","-0,689","0,260","1,261","0,035","-0,001","0,102","0,131","0,085","0,101","0,125","0,133","0,121"
101301880,1013,1,13,1,88,1,"0,0266","0,137","14,000","0,000","-0,153","0,043","-8,417","0,008","-0,139","-0,021","-2,759","0,050","-0,273","0,127","0,338","0,024","0,000","0,086","0,072","0,022","0,106","0,116","0,100","0,106"
101701880,1017,1,17,1,88,1,"0,0250","0,144","3,000","1,000","-0,164","0,045","-2,389","-0,157","-0,215","-0,046","4,344","-0,859","-0,734","0,247","2,618","-0,196","0,004","0,094","0,138","0,110","0,101","0,106","0,144","0,121"
103001880,1030,1,30,1,88,1,"0,0051","0,128","4,000","0,000","-0,118","0,050","-2,314","-0,318","-0,224","-0,029","3,275","0,235","-0,429","0,367","2,591","0,044","-0,005","0,109","0,135","0,128","0,059","0,085","0,045","0,097"
104501880,1045,1,45,1,88,1,"0,0053","0,150","14,000","0,000","-0,144","0,042","-8,165","-0,022","-0,153","-0,029","-3,327","0,072","-0,416","0,159","0,490","0,026","0,000","0,114","0,116","0,142","0,095","0,122","0,131","0,119"
200501880,2005,2,5,1,88,1,"0,0381","0,109","1,000","0,000","-0,116","0,060","-2,510","-0,326","-0,228","-0,007","6,473","0,255","-0,018","0,379","2,728","0,035","-0,008","0,083","0,020","-0,021","0,064","0,083","-0,007","0,072"
200801880,2008,2,8,1,88,1,"0,0083","0,132","11,000","0,000","-0,133","0,043","-5,100","-0,100","-0,189","-0,027","-2,603","0,111","-0,390","0,273","1,654","0,031","-0,003","0,079","0,052","0,144","0,119","0,096","0,112","0,110"
