date,temp,deaths,year,month,t,pre
2006-01-01,3.8,49124,2006,1,0,True
2006-02-01,3.4,42664,2006,2,1,True
2006-03-01,3.9,49207,2006,3,2,True
2006-04-01,7.4,40645,2006,4,3,True
2006-05-01,10.7,42425,2006,5,4,True
2006-06-01,14.5,40797,2006,6,5,True
2006-07-01,17.8,38870,2006,7,6,True
2006-08-01,14.9,39140,2006,8,7,True
2006-09-01,15.2,36594,2006,9,8,True
2006-10-01,11.6,40390,2006,10,9,True
2006-11-01,7.2,42326,2006,11,10,True
2006-12-01,5.5,40417,2006,12,11,True
2007-01-01,5.9,50305,2007,1,12,True
2007-02-01,5.1,44669,2007,2,13,True
2007-03-01,6.3,44358,2007,3,14,True
2007-04-01,10.2,41416,2007,4,15,True
2007-05-01,10.6,41579,2007,5,16,True
2007-06-01,13.7,38028,2007,6,17,True
2007-07-01,14.2,39729,2007,7,18,True
2007-08-01,14.3,39048,2007,8,19,True
2007-09-01,12.6,35215,2007,9,20,True
2007-10-01,10.2,42935,2007,10,21,True
2007-11-01,6.8,42832,2007,11,22,True
2007-12-01,4.4,43938,2007,12,23,True
2008-01-01,5.3,52057,2008,1,24,True
2008-02-01,4.9,42338,2008,2,25,True
2008-03-01,5.1,41999,2008,3,26,True
2008-04-01,7.0,46016,2008,4,27,True
2008-05-01,12.1,39240,2008,5,28,True
2008-06-01,12.9,37845,2008,6,29,True
2008-07-01,15.3,40084,2008,7,30,True
2008-08-01,15.1,34980,2008,8,31,True
2008-09-01,12.5,39238,2008,9,32,True
2008-10-01,8.7,42195,2008,10,33,True
2008-11-01,6.1,39504,2008,11,34,True
2008-12-01,3.1,53594,2008,12,35,True
2009-01-01,2.8,55045,2009,1,36,True
2009-02-01,3.7,41433,2009,2,37,True
2009-03-01,6.1,42395,2009,3,38,True
2009-04-01,8.9,40270,2009,4,39,True
2009-05-01,10.8,36568,2009,5,40,True
2009-06-01,13.7,38851,2009,6,41,True
2009-07-01,15.1,37975,2009,7,42,True
2009-08-01,15.3,33606,2009,8,43,True
2009-09-01,13.2,39127,2009,9,44,True
2009-10-01,10.4,40187,2009,10,45,True
2009-11-01,7.3,40122,2009,11,46,True
2009-12-01,2.1,45769,2009,12,47,True
2010-01-01,0.9,48363,2010,1,48,True
2010-02-01,1.8,41048,2010,2,49,True
2010-03-01,5.1,45138,2010,3,50,True
2010-04-01,7.9,40584,2010,4,51,True
2010-05-01,9.7,36517,2010,5,52,True
2010-06-01,14.1,40168,2010,6,53,True
2010-07-01,15.6,36888,2010,7,54,True
2010-08-01,14.2,36083,2010,8,55,True
2010-09-01,12.8,39423,2010,9,56,True
2010-10-01,9.4,38613,2010,10,57,True
2010-11-01,4.3,42123,2010,11,58,True
2010-12-01,-0.9,48294,2010,12,59,True
2011-01-01,3.1,49992,2011,1,60,True
2011-02-01,5.3,39350,2011,2,61,True
2011-03-01,5.8,44209,2011,3,62,True
2011-04-01,10.7,36943,2011,4,63,True
2011-05-01,11.0,40100,2011,5,64,True
2011-06-01,12.6,40000,2011,6,65,True
2011-07-01,14.2,35646,2011,7,66,True
2011-08-01,14.1,38383,2011,8,67,True
2011-09-01,13.8,38358,2011,9,68,True
2011-10-01,11.2,37200,2011,10,69,True
2011-11-01,8.7,40624,2011,11,70,True
2011-12-01,4.8,43562,2011,12,71,True
2012-01-01,4.6,46897,2012,1,72,True
2012-02-01,4.2,44537,2012,2,73,True
2012-03-01,7.7,44142,2012,3,74,True
2012-04-01,6.3,41685,2012,4,75,True
2012-05-01,10.5,44008,2012,5,76,True
2012-06-01,12.3,36680,2012,6,77,True
2012-07-01,14.1,39293,2012,7,78,True
2012-08-01,15.3,39035,2012,8,79,True
2012-09-01,11.9,35216,2012,9,80,True
2012-10-01,8.2,43169,2012,10,81,True
2012-11-01,5.7,42124,2012,11,82,True
2012-12-01,3.8,42545,2012,12,83,True
2013-01-01,3.3,52898,2013,1,84,True
2013-02-01,2.7,43778,2013,2,85,True
2013-03-01,2.2,44915,2013,3,86,True
2013-04-01,6.3,49735,2013,4,87,True
2013-05-01,9.5,42273,2013,5,88,True
2013-06-01,12.8,35866,2013,6,89,True
2013-07-01,17.0,39806,2013,7,90,True
2013-08-01,15.6,35691,2013,8,91,True
2013-09-01,12.7,36775,2013,9,92,True
2013-10-01,11.2,42322,2013,10,93,True
2013-11-01,5.5,39941,2013,11,94,True
2013-12-01,5.7,42790,2013,12,95,True
2014-01-01,4.7,49026,2014,1,96,True
2014-02-01,5.2,41199,2014,2,97,True
2014-03-01,6.7,41217,2014,3,98,True
