group,t,unit,post_treatment,y
0,0.0,0,False,0.897122432901507
0,1.0,0,True,1.9612135788421983
1,0.0,1,False,1.2335249009813691
1,1.0,1,True,2.7527941327437286
0,0.0,2,False,1.149207391077308
0,1.0,2,True,1.9107194958946412
1,0.0,3,False,1.2096028435304764
1,1.0,3,True,2.7870530562317772
0,0.0,4,False,1.0182211686591378
0,1.0,4,True,2.1355782741951903
1,0.0,5,False,1.2566023467285772
1,1.0,5,True,2.6352164140993417
0,0.0,6,False,1.1206312917156163
0,1.0,6,True,2.0293786635661104
1,0.0,7,False,1.2253914316635341
1,1.0,7,True,2.836234979171606
0,0.0,8,False,1.0937901142584816
0,1.0,8,True,2.0046646527573992
1,0.0,9,False,1.1311676279399658
1,1.0,9,True,2.597416938762001
0,0.0,10,False,1.1338268148431594
0,1.0,10,True,2.0396150424632604
1,0.0,11,False,1.2769574784336464
1,1.0,11,True,2.7237901979669057
0,0.0,12,False,1.0548219817786735
0,1.0,12,True,2.0966644540989554
1,0.0,13,False,1.2941834769826859
1,1.0,13,True,2.828746461772019
0,0.0,14,False,1.0011352011986534
0,1.0,14,True,2.2367233120727237
1,0.0,15,False,1.2621457689408864
1,1.0,15,True,2.737756363134591
0,0.0,16,False,1.0613566957247114
0,1.0,16,True,2.105012700050028
1,0.0,17,False,1.228130146156384
1,1.0,17,True,2.6887857541638813
0,0.0,18,False,1.2259823349004162
0,1.0,18,True,2.097530059810398
1,0.0,19,False,1.263074342393256
1,1.0,19,True,2.697326984058356
