rownames,treat,age,educ,race,married,nodegree,re74,re75,re78,hispan,white
NSW1,1,37,11,black,1,1,0.0,0.0,9930.046,False,False
NSW2,1,22,9,hispan,0,1,0.0,0.0,3595.894,True,False
NSW3,1,30,12,black,0,0,0.0,0.0,24909.45,False,False
NSW4,1,27,11,black,0,1,0.0,0.0,7506.146,False,False
NSW5,1,33,8,black,0,1,0.0,0.0,289.7899,False,False
NSW6,1,22,9,black,0,1,0.0,0.0,4056.494,False,False
NSW7,1,23,12,black,0,0,0.0,0.0,0.0,False,False
NSW8,1,32,11,black,0,1,0.0,0.0,8472.158,False,False
NSW9,1,22,16,black,0,0,0.0,0.0,2164.022,False,False
NSW10,1,33,12,white,1,0,0.0,0.0,12418.07,False,True
NSW11,1,19,9,black,0,1,0.0,0.0,8173.908,False,False
NSW12,1,21,13,black,0,0,0.0,0.0,17094.64,False,False
NSW13,1,18,8,black,0,1,0.0,0.0,0.0,False,False
NSW14,1,27,10,black,1,1,0.0,0.0,18739.93,False,False
NSW15,1,17,7,black,0,1,0.0,0.0,3023.879,False,False
NSW16,1,19,10,black,0,1,0.0,0.0,3228.503,False,False
NSW17,1,27,13,black,0,0,0.0,0.0,14581.86,False,False
NSW18,1,23,10,black,0,1,0.0,0.0,7693.4,False,False
NSW19,1,40,12,black,0,0,0.0,0.0,10804.32,False,False
NSW20,1,26,12,black,0,0,0.0,0.0,10747.35,False,False
NSW21,1,23,11,black,0,1,0.0,0.0,0.0,False,False
NSW22,1,41,14,white,0,0,0.0,0.0,5149.501,False,True
NSW23,1,38,9,white,0,1,0.0,0.0,6408.95,False,True
NSW24,1,24,11,black,0,1,0.0,0.0,1991.4,False,False
NSW25,1,18,10,black,0,1,0.0,0.0,11163.17,False,False
NSW26,1,29,11,black,1,1,0.0,0.0,9642.999,False,False
NSW27,1,25,11,black,0,1,0.0,0.0,9897.049,False,False
NSW28,1,27,10,hispan,0,1,0.0,0.0,11142.87,True,False
NSW29,1,17,10,black,0,1,0.0,0.0,16218.04,False,False
NSW30,1,24,11,black,0,1,0.0,0.0,995.7002,False,False
NSW31,1,17,10,black,0,1,0.0,0.0,0.0,False,False
NSW32,1,48,4,black,0,1,0.0,0.0,6551.592,False,False
NSW33,1,25,11,black,1,1,0.0,0.0,1574.424,False,False
NSW34,1,20,12,black,0,0,0.0,0.0,0.0,False,False
NSW35,1,25,12,black,0,0,0.0,0.0,3191.753,False,False
NSW36,1,42,14,black,0,0,0.0,0.0,20505.93,False,False
NSW37,1,25,5,black,0,1,0.0,0.0,6181.88,False,False
NSW38,1,23,12,black,1,0,0.0,0.0,5911.551,False,False
NSW39,1,46,8,black,1,1,0.0,0.0,3094.156,False,False
NSW40,1,24,10,black,0,1,0.0,0.0,0.0,False,False
NSW41,1,21,12,black,0,0,0.0,0.0,1254.582,False,False
NSW42,1,19,9,white,0,1,0.0,0.0,13188.83,False,True
NSW43,1,17,8,black,0,1,0.0,0.0,8061.485,False,False
NSW44,1,18,8,hispan,1,1,0.0,0.0,2787.96,True,False
NSW45,1,20,11,black,0,1,0.0,0.0,3972.54,False,False
NSW46,1,25,11,black,1,1,0.0,0.0,0.0,False,False
NSW47,1,17,8,black,0,1,0.0,0.0,0.0,False,False
NSW48,1,17,9,black,0,1,0.0,0.0,0.0,False,False
NSW49,1,25,5,black,0,1,0.0,0.0,12187.41,False,False
NSW50,1,23,12,black,0,0,0.0,0.0,4843.176,False,False
NSW51,1,28,8,black,0,1,0.0,0.0,0.0,False,False
NSW52,1,31,11,black,1,1,0.0,0.0,8087.487,False,False
NSW53,1,18,11,black,0,1,0.0,0.0,0.0,False,False
NSW54,1,25,12,black,0,0,0.0,0.0,2348.973,False,False
NSW55,1,30,11,black,1,1,0.0,0.0,590.7818,False,False
