"","wage","education","experience","ethnicity","smsa","south","age","nearcollege","nearcollege2","nearcollege4","enrolled","married","education66","smsa66","south66","feducation","meducation","fameducation","kww","iq","parents14","library14"
"1",548,7,16,"afam","yes","no",29,"no","no","none","no","yes",5,"yes","no",9.9399995803833,10.25,"9",15,NA,"both","no"
"2",481,12,9,"other","yes","no",27,"no","no","none","no","yes",11,"yes","no",8,8,"8",35,93,"both","yes"
"3",721,12,16,"other","yes","no",34,"no","no","none","no","yes",12,"yes","no",14,12,"2",42,103,"both","yes"
"4",250,11,10,"other","yes","no",27,"yes","yes","public","no","yes",11,"yes","no",11,12,"6",25,88,"both","yes"
"5",729,12,16,"other","yes","no",34,"yes","yes","public","no","yes",12,"yes","no",8,7,"8",34,108,"both","no"
"6",500,12,8,"other","yes","no",26,"yes","yes","public","no","yes",11,"yes","no",9,12,"6",38,85,"both","yes"
"7",565,18,9,"other","yes","no",33,"yes","yes","public","no","yes",16,"yes","no",14,14,"1",41,119,"both","yes"
"8",608,14,9,"other","yes","no",29,"yes","yes","public","no","yes",13,"yes","no",14,14,"1",46,108,"both","yes"
"9",425,12,10,"other","yes","no",28,"yes","yes","public","no","no",12,"yes","no",12,12,"3",32,96,"both","no"
"10",515,12,11,"other","yes","no",29,"yes","yes","public","no","yes",12,"yes","no",12,12,"3",34,97,"both","yes"
"11",225,9,13,"other","yes","no",28,"yes","yes","private","no","yes",9,"yes","no",11,12,"6",29,84,"both","no"
"12",400,12,8,"other","yes","no",26,"yes","yes","private","no","yes",10,"yes","no",11,6,"8",34,89,"both","yes"
"13",417,11,7,"other","yes","no",24,"yes","yes","private","no","yes",9,"yes","no",11,6,"8",22,93,"both","yes"
"14",217,11,13,"other","yes","no",30,"yes","yes","private","no","yes",9,"yes","no",11,6,"8",27,74,"both","no"
"15",894,16,9,"afam","yes","no",31,"yes","yes","private","no","yes",16,"yes","no",9.9399995803833,8,"9",43,116,"singlemom","yes"
"16",300,14,4,"other","yes","no",24,"yes","yes","private","no","no",8,"yes","no",15,12,"2",36,NA,"both","yes"
"17",346,12,16,"other","yes","no",34,"yes","yes","private","no","yes",12,"yes","no",12,8,"5",40,93,"both","yes"
"18",658,14,9,"other","yes","no",29,"yes","yes","private","no","yes",14,"yes","no",9.9399995803833,12,"4",35,100,"singlemom","yes"
"19",575,10,10,"other","yes","no",26,"yes","yes","private","no","no",9,"yes","no",8,8,"8",24,91,"both","no"
"20",649,12,14,"other","yes","no",32,"yes","yes","private","no","yes",12,"yes","no",8,8,"8",35,88,"both","no"
"21",944,18,8,"other","yes","yes",32,"yes","yes","public","no","yes",17,"yes","no",12,13,"2",43,NA,"both","yes"
"22",614,18,10,"other","yes","no",34,"yes","yes","public","no","yes",15,"yes","no",9.9399995803833,8,"9",50,114,"both","yes"
"23",726,15,11,"other","no","no",32,"yes","yes","public","no","yes",14,"yes","no",5,14,"6",37,111,"both","yes"
"24",604,12,10,"other","yes","no",28,"yes","no","public","no","yes",11,"yes","no",14,12,"2",44,NA,"both","yes"
"25",693,12,14,"other","yes","no",32,"yes","no","public","no","yes",12,"yes","no",11,12,"6",44,95,"both","yes"
"26",1400,18,10,"other","no","no",34,"yes","no","public","no","yes",15,"yes","no",14,13,"1",44,132,"both","yes"
"27",300,12,8,"other","yes","no",26,"yes","no","public","no","no",8,"yes","no",7,12,"6",27,NA,"both","yes"
"28",1800,18,8,"other","yes","no",32,"yes","no","public","no","no",13,"yes","no",16,16,"1",38,109,"both","yes"
"29",413,12,7,"other","yes","no",25,"yes","no","public","no","yes",10,"yes","no",11,12,"6",43,108,"both","yes"
"30",632,14,9,"other","no","no",29,"yes","no","public","no","yes",12,"no","no",9.9399995803833,16,"4",45,102,"singlemom","yes"
"31",208,12,7,"other","yes","no",25,"yes","yes","public","no","yes",9,"yes","no",12,12,"3",30,106,"both","yes"
"32",457,12,7,"afam","yes","no",25,"yes","yes","public","no","no",10,"yes","no",9.9399995803833,11,"9",40,104,"singlemom","yes"
"33",824,16,2,"other","yes","no",24,"yes","yes","public","no","yes",9,"yes","no",10,10,"7",24,119,"both","yes"
"34",577,18,10,"other","yes","no",34,"yes","yes","public","no","yes",18,"yes","no",9.9399995803833,12,"4",47,122,"singlemom","yes"
"35",255,11,11,"other","yes","no",28,"yes","yes","public","no","yes",11,"yes","no",6,10,"8",32,90,"step","yes"
"36",962,16,8,"other","yes","no",30,"yes","yes","public","no","yes",13,"yes","no",12,12,"3",47,118,"both","yes"
"37",944,10,15,"other","yes","no",31,"yes","yes","public","no","yes",10,"yes","no",8,6,"8",37,105,"both","no"
"38",1146,18,10,"other","yes","no",34,"yes","yes","public","yes","yes",16,"yes","no",8,11,"8",43,115,"both","yes"
"39",324,6,15,"other","yes","no",27,"yes","yes","public","no","yes",6,"yes","no",2,6,"8",16,NA,"both","yes"
"40",235,11,7,"afam","yes","no",24,"yes","yes","public","no","no",9,"yes","no",6,12,"6",27,65,"both","yes"
"41",1000,12,16,"other","yes","no",34,"yes","yes","public","no","yes",12,"yes","no",11,10,"7",45,120,"both","no"
"42",481,9,11,"other","yes","no",26,"yes","yes","public","no","no",9,"yes","no",9.9399995803833,12,"4",31,86,"singlemom","yes"
"43",624,15,11,"other","yes","no",32,"yes","yes","public","no","yes",12,"yes","no",10,12,"6",39,109,"both","yes"
"44",650,11,17,"other","yes","no",34,"yes","yes","public","no","yes",11,"yes","no",8,10,"8",36,72,"both","no"
"45",344,12,6,"afam","yes","no",24,"yes","yes","public","no","no",8,"yes","no",9.9399995803833,10,"9",31,NA,"singlemom","no"
"46",380,16,2,"other","yes","yes",24,"yes","yes","public","no","no",9,"yes","no",12,10,"5",NA,NA,"both","no"
"47",353,12,6,"other","yes","no",24,"yes","yes","public","no","yes",10,"yes","no",12,11,"5",25,101,"both","yes"
"48",659,13,6,"other","yes","no",25,"yes","yes","public","no","no",10,"yes","no",9.9399995803833,12,"4",29,105,"singlemom","yes"
"49",621,17,5,"other","yes","no",28,"yes","yes","public","yes","yes",13,"yes","no",10,10,"7",48,136,"both","yes"
"50",440,12,7,"other","yes","no",25,"yes","yes","public","no","yes",10,"yes","no",10,11,"7",40,101,"both","yes"
"51",738,12,8,"afam","yes","no",26,"yes","yes","public","no","no",11,"yes","no",12,10,"5",34,96,"both","yes"
"52",280,11,14,"afam","no","yes",31,"yes","yes","public","no","yes",10,"yes","no",5,5,"8",36,NA,"both","no"
"53",434,10,8,"other","yes","no",24,"yes","yes","public","no","yes",7,"yes","no",5,10.25,"9",34,NA,"other","yes"
"54",705,12,9,"other","yes","no",27,"yes","yes","public","no","yes",11,"yes","no",9.9399995803833,8,"9",34,101,"singlemom","yes"
"55",425,12,9,"other","yes","no",27,"yes","yes","public","no","yes",12,"yes","no",10,12,"6",32,91,"both","yes"
"56",571,12,6,"other","yes","no",24,"yes","yes","public","no","yes",9,"yes","no",9.9399995803833,4,"9",35,NA,"singlemom","yes"
"57",538,16,8,"other","yes","no",30,"yes","yes","public","no","no",14,"yes","no",12,12,"3",52,115,"both","yes"
"58",740,16,10,"other","yes","no",32,"yes","yes","public","no","yes",14,"yes","no",12,12,"3",49,113,"both","yes"
"59",673,13,13,"other","yes","no",32,"yes","yes","public","yes","yes",12,"yes","no",10,12,"6",43,123,"both","yes"
"60",769,12,16,"other","yes","no",34,"yes","yes","public","no","yes",12,"yes","no",10,10,"7",36,95,"both","yes"
"61",592,12,6,"other","yes","no",24,"yes","yes","public","no","yes",9,"yes","no",10,10,"7",26,102,"other","yes"
"62",213,9,9,"afam","yes","no",24,"yes","yes","public","no","no",8,"yes","no",12,11,"5",15,NA,"both","yes"
"63",1563,16,12,"other","yes","no",34,"yes","yes","public","no","yes",16,"yes","no",12,12,"3",50,145,"both","yes"
"64",774,16,6,"other","yes","no",28,"yes","yes","public","no","yes",13,"yes","no",11,11,"7",35,114,"both","yes"
"65",600,12,8,"other","yes","yes",26,"yes","yes","public","no","yes",10,"yes","no",8,9,"8",35,113,"both","no"
"66",693,18,0,"other","yes","no",24,"yes","yes","public","no","no",8,"yes","no",16,16,"1",24,NA,"both","yes"
"67",570,13,12,"other","yes","no",31,"yes","yes","public","no","no",12,"yes","no",8,12,"6",40,93,"both","yes"
"68",433,14,8,"other","yes","no",28,"yes","yes","public","no","no",11,"yes","no",12,12,"3",38,NA,"both","yes"
"69",538,15,7,"other","yes","no",28,"yes","yes","public","no","no",13,"yes","no",12,12,"3",37,119,"both","no"
"70",627,12,7,"other","yes","no",25,"yes","yes","public","no","no",10,"yes","no",12,9,"5",35,108,"other","yes"
"71",481,8,17,"other","yes","no",31,"yes","yes","public","no","yes",8,"yes","no",12,11,"5",35,NA,"both","yes"
"72",545,12,8,"other","yes","no",26,"yes","yes","public","no","yes",10,"yes","no",6,11,"8",26,72,"both","yes"
"73",576,12,7,"other","yes","no",25,"yes","yes","public","no","yes",9,"yes","no",12,9,"5",34,86,"both","yes"
"74",700,16,3,"other","yes","no",25,"yes","yes","public","no","yes",10,"yes","no",14,12,"2",42,123,"both","yes"
"75",788,16,6,"other","yes","no",28,"yes","yes","public","no","yes",13,"yes","no",12,12,"3",38,103,"both","yes"
"76",1012,17,4,"other","yes","no",27,"yes","yes","public","no","yes",12,"yes","no",12,12,"3",42,101,"both","yes"
"77",758,12,6,"other","yes","no",24,"yes","yes","public","no","yes",8,"yes","no",12,10,"5",30,NA,"both","yes"
"78",601,14,9,"other","yes","no",29,"yes","yes","public","yes","no",12,"yes","no",12,16,"2",41,105,"both","yes"
"79",283,12,6,"other","yes","no",24,"yes","yes","public","no","no",8,"yes","no",9.9399995803833,12,"4",34,NA,"singlemom","yes"
"80",250,12,6,"other","yes","no",24,"yes","yes","public","no","no",8,"yes","no",12,12,"3",29,NA,"step","yes"
"81",500,12,8,"other","yes","no",26,"yes","yes","public","no","yes",10,"yes","no",10,12,"6",33,95,"both","yes"
"82",550,11,14,"other","yes","no",31,"yes","yes","public","no","yes",10,"yes","no",8,6,"8",41,98,"both","yes"
"83",1143,12,7,"other","yes","no",25,"yes","yes","public","no","yes",9,"yes","no",8,6,"8",27,NA,"both","yes"
"84",810,18,7,"other","yes","yes",31,"yes","yes","public","no","no",16,"yes","no",8,8,"8",39,115,"both","no"
"85",313,12,10,"afam","yes","no",28,"yes","yes","public","no","no",11,"yes","no",9.9399995803833,9,"9",20,60,"singlemom","yes"
"86",731,18,1,"other","yes","no",25,"yes","yes","public","no","yes",10,"yes","no",9.9399995803833,4,"9",36,135,"singlemom","yes"
"87",625,16,3,"other","yes","no",25,"yes","yes","public","yes","yes",9,"yes","no",9,10,"7",35,132,"both","yes"
"88",588,14,4,"other","yes","no",24,"yes","yes","public","yes","yes",9,"yes","no",16,12,"2",33,106,"both","yes"
"89",375,14,6,"other","yes","no",26,"yes","yes","public","yes","yes",11,"yes","no",12,12,"3",28,113,"both","yes"
"90",817,16,7,"other","yes","yes",29,"yes","yes","public","no","no",13,"no","no",14,11,"5",43,102,"both","yes"
"91",865,14,10,"other","yes","no",30,"yes","yes","public","no","yes",14,"yes","no",15,12,"2",32,91,"both","yes"
"92",350,15,7,"other","yes","yes",28,"yes","yes","public","no","yes",12,"no","no",12,12,"3",30,104,"both","yes"
"93",202,13,5,"other","yes","yes",24,"yes","yes","public","no","yes",8,"yes","no",12,12,"3",22,NA,"both","yes"
"94",505,13,13,"other","yes","yes",32,"yes","yes","public","no","yes",13,"yes","no",16,16,"1",43,97,"step","yes"
"95",816,17,7,"other","yes","no",30,"yes","yes","public","no","yes",15,"yes","no",12,13,"2",41,125,"both","yes"
"96",625,18,2,"other","yes","no",26,"yes","yes","public","no","no",11,"yes","no",14,12,"2",41,123,"both","yes"
"97",769,18,8,"other","yes","no",32,"yes","yes","public","no","no",17,"no","no",16,16,"1",35,128,"both","yes"
"98",500,17,4,"other","yes","no",27,"yes","yes","public","yes","no",11,"yes","no",16,17,"1",38,133,"both","yes"
"99",619,17,4,"other","yes","no",27,"yes","yes","public","yes","yes",12,"no","no",12,8,"5",32,114,"both","yes"
"100",650,12,12,"other","yes","no",30,"yes","yes","public","no","yes",12,"yes","no",9.9399995803833,8,"9",40,103,"singlemom","yes"
"101",769,18,4,"other","yes","no",28,"yes","no","public","no","yes",13,"yes","no",10,12,"6",36,130,"both","yes"
"102",512,12,8,"other","yes","no",26,"yes","no","public","no","yes",10,"yes","no",10,12,"6",33,97,"both","yes"
"103",625,18,7,"other","yes","no",31,"yes","no","public","no","yes",15,"yes","no",12,13,"2",46,132,"both","yes"
"104",1111,14,11,"other","yes","no",31,"yes","no","public","no","yes",14,"yes","no",12,12,"3",41,98,"both","yes"
