arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
causalpy/custom_exceptions.py,method,BadIndexException,__init__,A,1,29,31
causalpy/custom_exceptions.py,method,FormulaException,__init__,A,1,44,46
causalpy/custom_exceptions.py,method,DataException,__init__,A,1,58,60
causalpy/date_utils.py,function,,_combine_datetime_indices,A,1,23,41
causalpy/maketables_adapters.py,method,MaketablesAdapter,coef_table,A,1,38,46
causalpy/maketables_adapters.py,method,MaketablesAdapter,stat,A,1,48,58
causalpy/maketables_adapters.py,method,MaketablesAdapter,vcov_info,A,1,60,68
causalpy/maketables_adapters.py,method,MaketablesAdapter,stat_labels,A,1,70,78
causalpy/maketables_adapters.py,method,MaketablesAdapter,default_stat_keys,A,1,80,88
causalpy/maketables_adapters.py,method,PyMCMaketablesAdapter,stat,A,1,285,302
causalpy/maketables_adapters.py,method,PyMCMaketablesAdapter,vcov_info,A,1,304,312
causalpy/maketables_adapters.py,method,PyMCMaketablesAdapter,stat_labels,A,1,314,322
causalpy/maketables_adapters.py,method,SklearnMaketablesAdapter,stat,A,1,366,383
causalpy/maketables_adapters.py,method,SklearnMaketablesAdapter,vcov_info,A,1,385,393
causalpy/maketables_adapters.py,method,SklearnMaketablesAdapter,stat_labels,A,1,395,403
causalpy/pipeline.py,method,PipelineResult,from_context,A,1,89,107
causalpy/pipeline.py,method,Step,validate,A,1,123,131
causalpy/pipeline.py,method,Step,run,A,1,133,146
causalpy/plot_utils.py,function,,get_hdi_to_df,A,1,97,130
causalpy/pymc_models.py,function,,_print_row,A,1,548,554
causalpy/pymc_models.py,function,,_as_xtensor_obs_ind,A,1,35,39
causalpy/pymc_models.py,function,,_call_seasonality_component_apply,A,1,65,70
causalpy/pymc_models.py,method,PyMCModel,priors_from_data,A,1,153,225
causalpy/pymc_models.py,method,PyMCModel,_clone,A,1,250,259
causalpy/pymc_models.py,method,PyMCModel,build_model,A,1,262,286
causalpy/pymc_models.py,method,PyMCModel,calculate_cumulative_impact,A,1,516,530
causalpy/pymc_models.py,method,WeightedSumFitter,priors_from_data,A,1,724,750
causalpy/pymc_models.py,method,WeightedSumFitter,build_model,A,1,754,777
causalpy/pymc_models.py,method,SoftmaxWeightedSumFitter,priors_from_data,A,1,904,956
causalpy/pymc_models.py,method,SyntheticDifferenceInDifferencesWeightFitter,priors_from_data,A,1,1050,1083
causalpy/pymc_models.py,method,SyntheticDifferenceInDifferencesWeightFitter,build_model,A,1,1086,1132
causalpy/pymc_models.py,method,InstrumentalVariableRegression,fit,A,1,1391,1446
causalpy/pymc_models.py,method,PropensityScore,build_model,A,1,1487,1519
causalpy/pymc_models.py,method,BayesianBasisExpansionTimeSeries,__init__,A,1,1757,1791
causalpy/pymc_models.py,method,BayesianBasisExpansionTimeSeries,_clone,A,1,1793,1802
causalpy/pymc_models.py,method,BayesianBasisExpansionTimeSeries,score,A,1,2202,2228
causalpy/pymc_models.py,method,StateSpaceTimeSeries,__init__,A,1,2254,2281
causalpy/pymc_models.py,method,StateSpaceTimeSeries,_clone,A,1,2283,2292
causalpy/pymc_models.py,method,StateSpaceTimeSeries,score,A,1,2625,2652
causalpy/reporting.py,function,,fmt_num,A,1,1032,1033
causalpy/reporting.py,function,,fmt_num,A,1,1274,1275
causalpy/reporting.py,function,,_format_number,A,1,148,163
causalpy/reporting.py,function,,_generate_table_did_ols,A,1,1589,1598
causalpy/reporting.py,function,,_generate_prose_did_ols,A,1,1601,1619
causalpy/reporting.py,function,,fmt_num,A,1,1605,1606
causalpy/reporting.py,function,,_generate_table_rd_ols,A,1,1673,1682
causalpy/reporting.py,function,,_generate_prose_rd_ols,A,1,1685,1703
causalpy/reporting.py,function,,fmt_num,A,1,1689,1690
causalpy/skl_models.py,function,,create_causalpy_compatible_class,A,1,138,150
causalpy/skl_models.py,method,ScikitLearnAdaptor,calculate_impact,A,1,31,41
causalpy/skl_models.py,method,ScikitLearnAdaptor,calculate_cumulative_impact,A,1,43,51
causalpy/skl_models.py,method,ScikitLearnAdaptor,get_coeffs,A,1,80,82
causalpy/skl_models.py,method,WeightedProportion,loss,A,1,91,103
causalpy/skl_models.py,method,WeightedProportion,fit,A,1,105,125
causalpy/skl_models.py,method,WeightedProportion,predict,A,1,127,135
causalpy/transforms.py,method,StepTransform,__init__,A,1,74,76
causalpy/transforms.py,method,StepTransform,memorize_finish,A,1,110,112
causalpy/transforms.py,method,RampTransform,__init__,A,1,194,196
causalpy/transforms.py,method,RampTransform,memorize_finish,A,1,229,231
causalpy/utils.py,function,,_as_scalar,A,1,33,49
causalpy/utils.py,function,,_is_variable_dummy_coded,A,1,52,55
causalpy/utils.py,function,,_series_has_2_levels,A,1,58,60
causalpy/utils.py,function,,round_num,A,1,63,80
causalpy/variable_selection_priors.py,function,,_relaxed_bernoulli_transform,A,1,32,59
causalpy/variable_selection_priors.py,function,,transform,A,1,55,57
causalpy/variable_selection_priors.py,function,,create_variable_selection_prior,A,1,564,600
causalpy/variable_selection_priors.py,method,SpikeAndSlabPrior,create_variable,A,1,111,140
causalpy/checks/base.py,method,Check,validate,A,1,99,113
causalpy/checks/base.py,method,Check,run,A,1,115,135
causalpy/checks/mccrary.py,method,McCraryDensityTest,__init__,A,1,60,62
causalpy/checks/persistence.py,method,PersistenceCheck,__init__,A,1,52,58
causalpy/checks/persistence.py,method,PersistenceCheck,run,A,1,81,140
causalpy/checks/placebo_in_time.py,method,PlaceboInTime,_get_fold_data,A,1,559,567
causalpy/checks/pre_treatment_placebo.py,method,PreTreatmentPlaceboCheck,__init__,A,1,48,49
causalpy/data/simulate_data.py,function,,outcome,A,1,228,242
causalpy/data/simulate_data.py,function,,_smoothed_gaussian_random_walk,A,1,27,52
causalpy/data/simulate_data.py,function,,generate_time_series_data_seasonal,A,1,134,170
causalpy/data/simulate_data.py,function,,generate_time_series_data_simple,A,1,173,204
causalpy/data/simulate_data.py,function,,generate_regression_discontinuity_data,A,1,268,303
causalpy/data/simulate_data.py,function,,is_treated,A,1,290,292
causalpy/data/simulate_data.py,function,,impact,A,1,294,298
causalpy/data/simulate_data.py,function,,_generate_seasonality,A,1,490,509
causalpy/data/simulate_data.py,function,,_periodic_kernel,A,1,512,521
causalpy/data/simulate_data.py,function,,_create_series,A,1,525,545
causalpy/experiments/base.py,method,BaseExperiment,__init__,A,1,189,197
causalpy/experiments/base.py,method,BaseExperiment,fit,A,1,199,218
causalpy/experiments/base.py,method,BaseExperiment,idata,A,1,221,223
causalpy/experiments/base.py,method,BaseExperiment,print_coefficients,A,1,225,234
causalpy/experiments/base.py,method,BaseExperiment,__maketables_coef_table__,A,1,259,265
causalpy/experiments/base.py,method,BaseExperiment,__maketables_stat__,A,1,267,269
causalpy/experiments/base.py,method,BaseExperiment,__maketables_depvar__,A,1,272,278
causalpy/experiments/base.py,method,BaseExperiment,__maketables_vcov_info__,A,1,283,285
causalpy/experiments/base.py,method,BaseExperiment,__maketables_stat_labels__,A,1,288,290
causalpy/experiments/base.py,method,BaseExperiment,__maketables_default_stat_keys__,A,1,293,295
causalpy/experiments/base.py,method,BaseExperiment,_bayesian_plot,A,1,377,379
causalpy/experiments/base.py,method,BaseExperiment,_ols_plot,A,1,381,383
causalpy/experiments/base.py,method,BaseExperiment,get_plot_data_bayesian,A,1,404,414
causalpy/experiments/base.py,method,BaseExperiment,get_plot_data_ols,A,1,416,426
causalpy/experiments/base.py,method,BaseExperiment,effect_summary,A,1,429,497
causalpy/experiments/diff_in_diff.py,function,,_plot_causal_impact_arrow,A,1,407,456
causalpy/experiments/diff_in_diff.py,method,DifferenceInDifferences,__init__,A,1,104,127
causalpy/experiments/diff_in_diff.py,method,DifferenceInDifferences,_build_design_matrices,A,1,129,136
causalpy/experiments/diff_in_diff.py,method,DifferenceInDifferences,_prepare_data,A,1,138,147
causalpy/experiments/diff_in_diff.py,method,DifferenceInDifferences,summary,A,1,310,323
causalpy/experiments/diff_in_diff.py,method,DifferenceInDifferences,_causal_impact_summary_stat,A,1,325,327
causalpy/experiments/diff_in_diff.py,method,DifferenceInDifferences,plot,A,1,329,379
causalpy/experiments/instrumental_variable.py,method,InstrumentalVariable,_build_design_matrices,A,1,149,163
causalpy/experiments/instrumental_variable.py,method,InstrumentalVariable,get_2SLS_fit,A,1,226,245
causalpy/experiments/instrumental_variable.py,method,InstrumentalVariable,get_naive_OLS_fit,A,1,247,258
causalpy/experiments/instrumental_variable.py,method,InstrumentalVariable,plot,A,1,260,287
causalpy/experiments/instrumental_variable.py,method,InstrumentalVariable,summary,A,1,289,298
causalpy/experiments/instrumental_variable.py,method,InstrumentalVariable,effect_summary,A,1,300,343
causalpy/experiments/interrupted_time_series.py,method,InterruptedTimeSeries,__init__,A,1,138,159
causalpy/experiments/interrupted_time_series.py,method,InterruptedTimeSeries,_build_design_matrices,A,1,161,173
causalpy/experiments/interrupted_time_series.py,method,InterruptedTimeSeries,_prepare_data,A,1,175,189
causalpy/experiments/interrupted_time_series.py,method,InterruptedTimeSeries,datapre,A,1,290,295
causalpy/experiments/interrupted_time_series.py,method,InterruptedTimeSeries,datapost,A,1,298,303
causalpy/experiments/interrupted_time_series.py,method,InterruptedTimeSeries,summary,A,1,574,585
causalpy/experiments/interrupted_time_series.py,method,InterruptedTimeSeries,plot,A,1,587,636
causalpy/experiments/interrupted_time_series.py,method,InterruptedTimeSeries,get_plot_data_ols,A,1,1132,1144
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,__init__,A,1,80,97
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,_build_design_matrices,A,1,99,118
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,algorithm,A,1,120,126
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,make_robust_adjustments,A,1,194,231
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,make_raw_adjustments,A,1,233,271
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,make_overlap_adjustments,A,1,273,311
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,make_doubly_robust_adjustment,A,1,313,348
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,_compute_ate_robust,A,1,350,378
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,_compute_ate_raw,A,1,380,408
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,_compute_ate_overlap,A,1,410,438
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,_compute_ate_doubly_robust,A,1,440,468
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,get_ate,A,1,470,509
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,plot,A,1,511,543
causalpy/experiments/inverse_propensity_weighting.py,method,InversePropensityWeighting,effect_summary,A,1,854,910
causalpy/experiments/model_adapter.py,function,,build_coords,A,1,34,59
causalpy/experiments/model_adapter.py,method,ModelAdapter,model,A,1,89,90
causalpy/experiments/model_adapter.py,method,ModelAdapter,kind,A,1,94,95
causalpy/experiments/model_adapter.py,method,ModelAdapter,is_bayesian,A,1,98,100
causalpy/experiments/model_adapter.py,method,ModelAdapter,is_ols,A,1,103,105
causalpy/experiments/model_adapter.py,method,ModelAdapter,idata,A,1,109,110
causalpy/experiments/model_adapter.py,method,ModelAdapter,fit,A,1,113,120
causalpy/experiments/model_adapter.py,method,ModelAdapter,predict,A,1,133,140
causalpy/experiments/model_adapter.py,method,ModelAdapter,score,A,1,153,154
causalpy/experiments/model_adapter.py,method,ModelAdapter,coefficients,A,1,167,168
causalpy/experiments/model_adapter.py,method,ModelAdapter,print_coefficients,A,1,171,174
causalpy/experiments/model_adapter.py,method,PyMCModelAdapter,__init__,A,1,194,195
causalpy/experiments/model_adapter.py,method,PyMCModelAdapter,model,A,1,198,200
causalpy/experiments/model_adapter.py,method,PyMCModelAdapter,kind,A,1,203,205
causalpy/experiments/model_adapter.py,method,PyMCModelAdapter,idata,A,1,208,210
causalpy/experiments/model_adapter.py,method,PyMCModelAdapter,fit,A,1,212,230
causalpy/experiments/model_adapter.py,method,PyMCModelAdapter,predict,A,1,232,250
causalpy/experiments/model_adapter.py,method,PyMCModelAdapter,score,A,1,252,264
causalpy/experiments/model_adapter.py,method,PyMCModelAdapter,print_coefficients,A,1,273,285
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,__init__,A,1,297,298
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,model,A,1,301,303
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,kind,A,1,306,308
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,idata,A,1,311,313
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,fit,A,1,315,333
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,predict,A,1,335,353
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,score,A,1,355,367
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,coefficients,A,1,369,371
causalpy/experiments/model_adapter.py,method,SklearnModelAdapter,print_coefficients,A,1,373,385
causalpy/experiments/panel_regression.py,method,PanelRegression,_prepare_data,A,1,283,292
causalpy/experiments/panel_regression.py,method,PanelRegression,algorithm,A,1,294,302
causalpy/experiments/panel_regression.py,method,PanelRegression,effect_summary,A,1,438,490
causalpy/experiments/panel_regression.py,method,PanelRegression,plot,A,1,496,536
causalpy/experiments/panel_regression.py,method,PanelRegression,_bayesian_plot,A,1,539,557
causalpy/experiments/panel_regression.py,method,PanelRegression,_ols_plot,A,1,559,567
causalpy/experiments/panel_regression.py,method,PanelRegression,plot_coefficients,A,1,687,711
causalpy/experiments/piecewise_its.py,function,,_get_hdi_bounds,A,1,706,714
causalpy/experiments/piecewise_its.py,method,PiecewiseITS,__init__,A,1,150,214
causalpy/experiments/piecewise_its.py,method,PiecewiseITS,summary,A,1,411,422
causalpy/experiments/piecewise_its.py,method,PiecewiseITS,plot,A,1,424,470
causalpy/experiments/piecewise_its.py,method,PiecewiseITS,get_plot_data_ols,A,1,758,781
causalpy/experiments/prepostnegd.py,method,PrePostNEGD,__init__,A,1,95,117
causalpy/experiments/prepostnegd.py,method,PrePostNEGD,_build_design_matrices,A,1,119,126
causalpy/experiments/prepostnegd.py,method,PrePostNEGD,_prepare_data,A,1,128,136
causalpy/experiments/prepostnegd.py,method,PrePostNEGD,_causal_impact_summary_stat,A,1,212,222
causalpy/experiments/prepostnegd.py,method,PrePostNEGD,summary,A,1,224,237
causalpy/experiments/prepostnegd.py,method,PrePostNEGD,plot,A,1,239,287
causalpy/experiments/prepostnegd.py,method,PrePostNEGD,effect_summary,A,1,370,402
causalpy/experiments/regression_discontinuity.py,method,RegressionDiscontinuity,__init__,A,1,101,125
causalpy/experiments/regression_discontinuity.py,method,RegressionDiscontinuity,_prepare_data,A,1,165,174
causalpy/experiments/regression_discontinuity.py,method,RegressionDiscontinuity,_is_treated,A,1,264,271
causalpy/experiments/regression_discontinuity.py,method,RegressionDiscontinuity,summary,A,1,273,295
causalpy/experiments/regression_discontinuity.py,method,RegressionDiscontinuity,plot,A,1,297,345
causalpy/experiments/regression_discontinuity.py,method,RegressionDiscontinuity,effect_summary,A,1,527,559
causalpy/experiments/regression_kink.py,method,RegressionKink,__init__,A,1,72,94
causalpy/experiments/regression_kink.py,method,RegressionKink,_prepare_data,A,1,118,127
causalpy/experiments/regression_kink.py,method,RegressionKink,_eval_gradient_change,A,1,181,195
causalpy/experiments/regression_kink.py,method,RegressionKink,_probe_kink_point,A,1,197,220
causalpy/experiments/regression_kink.py,method,RegressionKink,_is_treated,A,1,222,224
causalpy/experiments/regression_kink.py,method,RegressionKink,summary,A,1,226,246
causalpy/experiments/regression_kink.py,method,RegressionKink,plot,A,1,248,296
causalpy/experiments/regression_kink.py,method,RegressionKink,effect_summary,A,1,373,405
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,__init__,A,1,158,210
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,algorithm,A,1,212,224
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,_compute_event_times,A,1,320,324
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,_get_periods_without_untreated_support,A,1,341,347
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,_is_calendar_period_identified,A,1,382,384
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,_build_design_matrices,A,1,427,443
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,_fit_model,A,1,445,464
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,_compute_treatment_effects,A,1,491,501
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,plot,A,1,752,796
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,plot_group_time,A,1,799,866
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,_get_group_time_placebo_observations,A,1,1298,1302
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,get_plot_data_ols,A,1,1605,1613
causalpy/experiments/staggered_did.py,method,StaggeredDifferenceInDifferences,effect_summary,A,1,1615,1649
causalpy/experiments/synthetic_control.py,method,SyntheticControl,datapre,A,1,225,230
causalpy/experiments/synthetic_control.py,method,SyntheticControl,datapost,A,1,233,238
causalpy/experiments/synthetic_control.py,method,SyntheticControl,_prepare_data,A,1,240,277
causalpy/experiments/synthetic_control.py,method,SyntheticControl,algorithm,A,1,283,316
causalpy/experiments/synthetic_control.py,method,SyntheticControl,plot,A,1,402,462
causalpy/experiments/synthetic_control.py,method,SyntheticControl,get_plot_data_ols,A,1,765,777
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,__init__,A,1,120,140
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,datapre,A,1,143,148
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,datapost,A,1,151,156
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,_prepare_data,A,1,184,225
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,_build_weight_fitter_inputs,A,1,270,342
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,_compute_synthetic_and_gaps,A,1,372,406
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,_compute_tau,A,1,409,447
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,_build_reporting_objects,A,1,451,519
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,_build_inference_data,A,1,521,564
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,plot,A,1,595,629
causalpy/experiments/synthetic_difference_in_differences.py,method,SyntheticDifferenceInDifferences,_ols_plot,A,1,790,793
causalpy/steps/estimate_effect.py,method,EstimateEffect,__init__,A,1,59,61
causalpy/steps/report.py,method,GenerateReport,validate,A,1,72,73
causalpy/steps/report.py,method,GenerateReport,__repr__,A,1,161,166
causalpy/tests/conftest.py,function,,rng,A,1,55,58
causalpy/tests/conftest.py,function,,mock_pymc_sample,A,1,66,68
causalpy/tests/conftest.py,function,,did_data,A,1,84,86
causalpy/tests/conftest.py,function,,its_data,A,1,90,93
causalpy/tests/conftest.py,function,,its_simple_data,A,1,98,101
