arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
causalpy/custom_exceptions.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/date_utils.py,funcao,_combine_datetime_indices,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/date_utils.py,funcao,format_date_axis,4,9,5,9,13,14,36.5293,51.8062,2.0,103.6123,5.7562,0.0173
causalpy/date_utils.py,funcao,format_date_axes,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
causalpy/maketables_adapters.py,funcao,coef_table,3,4,3,4,7,7,12.7549,19.6515,1.5,29.4772,1.6376,0.0066
causalpy/maketables_adapters.py,funcao,stat,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/maketables_adapters.py,funcao,vcov_info,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/maketables_adapters.py,funcao,stat_labels,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/maketables_adapters.py,funcao,default_stat_keys,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/maketables_adapters.py,funcao,_safe_observation_count,4,10,5,10,14,15,41.2193,57.1103,2.0,114.2206,6.3456,0.019
causalpy/maketables_adapters.py,funcao,_safe_r2_value,4,7,4,7,11,11,27.6515,38.0537,2.0,76.1075,4.2282,0.0127
causalpy/maketables_adapters.py,funcao,_canonical_frame,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
causalpy/maketables_adapters.py,funcao,_extract_hdi_bounds,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
causalpy/maketables_adapters.py,funcao,_get_maketables_hdi_prob,3,5,5,8,8,13,16.3645,39.0,2.4,93.6,5.2,0.013
causalpy/maketables_adapters.py,funcao,_resolve_pymc_coef_draws,6,14,10,19,20,29,68.8127,125.3359,4.0714,510.2962,28.3498,0.0418
causalpy/maketables_adapters.py,funcao,get_maketables_adapter,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/pipeline.py,funcao,from_context,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/pipeline.py,funcao,validate,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/pipeline.py,funcao,run,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/pipeline.py,funcao,__init__,1,3,3,3,4,6,4.7549,12.0,0.5,6.0,0.3333,0.004
causalpy/plot_utils.py,funcao,plot_xY,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
causalpy/plot_utils.py,funcao,get_hdi_to_df,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/pymc_models.py,funcao,_as_xtensor_obs_ind,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/pymc_models.py,funcao,_uses_xtensor_api,3,7,4,8,10,12,24.4064,39.8631,1.7143,68.3368,3.7965,0.0133
causalpy/pymc_models.py,funcao,_call_time_component_apply,4,7,4,8,11,12,27.6515,41.5132,2.2857,94.8873,5.2715,0.0138
causalpy/pymc_models.py,funcao,_call_seasonality_component_apply,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/pymc_models.py,funcao,priors_from_data,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/pymc_models.py,funcao,__init__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/pymc_models.py,funcao,_clone,0,0,0,0,0,0,0,0,0,0,0,0
