arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
causalpy/skills/__init__.py,20,1,0,13,5,2,13
causalpy/tests/__init__.py,13,0,0,13,0,0,13
causalpy/version.py,16,2,1,13,0,1,14
causalpy/constants.py,28,5,2,21,3,2,21
causalpy/data/__init__.py,18,3,2,13,0,2,14
causalpy/tests/test_base_experiment_abc.py,31,10,8,13,3,6,14
causalpy/steps/__init__.py,25,5,9,13,0,2,14
causalpy/custom_exceptions.py,60,16,12,13,23,12,13
causalpy/tests/test_misc.py,37,15,13,16,5,3,16
causalpy/tests/test_sklearn_clone_fit_intercept.py,42,13,17,16,0,7,18
causalpy/tests/test_custom_exceptions.py,34,7,18,13,0,3,13
causalpy/tests/test_data_loading.py,53,27,22,13,3,11,17
causalpy/experiments/__init__.py,42,14,26,13,0,2,14
causalpy/date_utils.py,91,25,27,15,36,13,15
causalpy/checks/base.py,135,39,30,13,68,24,13
causalpy/tests/test_synthetic_data.py,81,37,35,18,15,15,16
causalpy/checks/__init__.py,54,15,37,13,0,3,14
causalpy/steps/estimate_effect.py,131,34,41,13,54,22,14
causalpy/tests/test_plot_utils.py,97,28,46,25,11,16,24
causalpy/tests/test_model_experiment_compatability.py,86,30,48,16,4,14,20
causalpy/tests/test_check_public_exports.py,85,41,50,13,0,17,18
causalpy/plot_utils.py,130,30,52,25,39,18,21
causalpy/data/datasets.py,143,18,55,17,54,17,17
causalpy/pipeline.py,216,66,57,13,108,38,13
causalpy/skl_models.py,163,59,57,19,57,27,22
causalpy/tests/test_ipw_extreme_ps.py,109,57,59,14,6,20,24
causalpy/__init__.py,80,25,63,14,0,3,14
causalpy/checks/pre_treatment_placebo.py,124,37,63,14,28,20,13
causalpy/checks/convex_hull.py,119,45,65,14,23,18,13
causalpy/tests/test_pymc_models_compat.py,115,65,69,20,0,31,15
causalpy/tests/test_variable_selection_priors.py,125,67,69,17,0,31,25
causalpy/steps/sensitivity.py,221,71,70,16,95,40,16
causalpy/checks/leave_one_out.py,135,54,72,13,27,23,13
causalpy/checks/bandwidth.py,140,53,74,13,31,22,13
causalpy/tests/test_model_adapter_normalization.py,108,53,74,13,0,20,14
causalpy/checks/mccrary.py,152,50,77,16,38,24,13
causalpy/checks/persistence.py,141,34,78,13,32,18,13
causalpy/steps/report.py,167,67,84,13,41,27,15
causalpy/checks/placebo_in_space.py,152,60,85,13,29,25,13
causalpy/tests/test_hdi_prob_defaults.py,152,73,85,23,27,22,18
causalpy/checks/prior_sensitivity.py,172,63,95,13,39,25,13
causalpy/tests/test_date_utils.py,184,103,100,24,0,44,40
causalpy/transforms.py,289,99,106,33,105,49,29
causalpy/tests/conftest.py,187,95,112,22,9,39,27
causalpy/tests/test_check_architecture_inventory.py,174,72,125,13,0,26,23
causalpy/tests/test_public_plot_signatures.py,244,83,125,22,70,32,17
causalpy/tests/test_deprecated_design_aliases.py,216,81,129,34,5,46,36
causalpy/tests/test_ipw_get_ate.py,243,158,136,19,14,51,42
causalpy/utils.py,469,100,140,25,220,82,27
causalpy/tests/test_validate_docstring_lists.py,206,61,141,13,19,30,16
causalpy/tests/test_model_adapter.py,197,90,147,13,0,34,16
causalpy/experiments/instrumental_variable.py,344,106,155,20,137,30,22
causalpy/tests/test_generate_report.py,229,130,158,25,0,40,31
causalpy/experiments/model_adapter.py,453,158,189,13,161,72,31
causalpy/tests/test_sensitivity_container.py,333,180,197,37,0,79,57
causalpy/tests/test_default_models.py,254,73,202,14,8,26,18
causalpy/variable_selection_priors.py,600,144,208,41,254,103,35
causalpy/checks/outcome_falsification.py,387,123,211,13,112,50,14
causalpy/experiments/prepostnegd.py,403,125,213,23,125,36,29
causalpy/tests/test_pipeline.py,341,182,213,38,0,75,53
causalpy/tests/test_integration_its_new_timeseries.py,319,140,220,46,3,49,47
causalpy/tests/test_integration_skl_examples.py,352,145,224,20,61,45,22
causalpy/tests/test_notebook_validation.py,302,97,224,18,2,57,19
causalpy/maketables_adapters.py,432,211,227,14,113,70,22
causalpy/experiments/base.py,542,178,228,26,213,69,32
causalpy/experiments/regression_kink.py,406,136,238,27,101,40,27
causalpy/tests/test_plot_show_parameter.py,432,196,274,32,59,66,33
causalpy/tests/test_hdi_prob_wiring.py,463,228,280,36,20,94,69
causalpy/tests/test_sdid_helpers.py,415,232,289,20,12,82,32
causalpy/tests/test_utils.py,458,220,296,53,3,92,67
causalpy/tests/test_instrumental_variable.py,481,166,310,64,3,87,81
causalpy/tests/test_cross_cutting_checks.py,429,245,322,34,0,65,42
causalpy/tests/test_outcome_falsification.py,551,282,328,57,22,118,83
causalpy/experiments/regression_discontinuity.py,560,168,332,35,135,55,38
causalpy/tests/test_timeseries_model_coverage.py,570,277,393,32,19,95,63
causalpy/tests/test_method_specific_checks.py,516,277,412,28,0,65,39
causalpy/data/simulate_data.py,878,237,429,64,255,128,66
causalpy/experiments/inverse_propensity_weighting.py,911,277,445,26,356,95,15
causalpy/experiments/diff_in_diff.py,690,198,447,66,132,51,60
causalpy/experiments/panel_regression.py,1039,320,466,71,366,139,68
causalpy/experiments/synthetic_difference_in_differences.py,906,229,484,34,292,97,33
causalpy/experiments/piecewise_its.py,912,299,495,68,218,126,73
causalpy/tests/test_its_effect_summary.py,847,385,562,84,5,174,106
causalpy/tests/test_panel_regression.py,772,303,562,66,3,117,90
causalpy/checks/placebo_in_time.py,1044,378,573,29,316,127,28
causalpy/tests/test_three_period_its.py,1007,445,632,122,5,220,150
causalpy/tests/test_maketables_plugin.py,820,480,634,16,0,143,43
causalpy/experiments/synthetic_control.py,1056,327,685,54,204,110,57
causalpy/tests/test_input_validation.py,1027,367,757,78,4,175,91
causalpy/tests/test_pymc_models.py,1188,609,792,124,44,201,151
